Name,Country,Email
International Citizens United for Rehabilitation of Errants (CURE),United States of America,  
International Club for Peace Research (ICPR),Cameroon,  
International Commission of Catholic Prison Pastoral Care (ICCPPC),Netherlands,  
International Commission of Jurists,Switzerland,  
International Commission on Drugs and Crime (ICDC),Pakistan,  
International Committee of Catholic Nurses,Belgium,  
International Committee of the Red Cross (ICRC),United States of America,redcross@hck.hr
International Community of Women Living with HIV/AIDS (ICW),United Kingdom,  
International Community Service Centre Trust (ICSC Trust),India,  
International Corrections and Prisons Association (ICPA),Canada,  
International Council for Adult Education,Uruguay,  
International Council of Jewish Women (ICJW),United States of America,  
International Council of Nurses (ICN),Switzerland,  
International Council of Prison Medical Services (HIPP),United Kingdom,  
International Council of Psychologists,United States of America,  
International Council of Social Welfare (ICSW),Netherlands,  
International Council of Women - Counseil International des Femmes (ICW-CIF),Austria,  
International Council on Alcohol and Addictions (ICAA),Switzerland,  
International Council on Human Rights Policy (ICHRP),Switzerland,  
International Crisis Group (ICG),Belgium,  
"International Federation for the Protection of the Rights of Ethnic, Religious, Linguistic and Other",United States of America,  
International Federation of Action of Christians for the Abolition of Torture (ACAT),France,  
International Federation of Business and Professional Women (IFBPW),United States of America,  
International Federation of Catholic Universities (IFCU),France,  
International Federation of Consulting Engineers (FIDIC),Switzerland,  
International Federation of Educational Communities (FICE),Romania,  
International Federation of Human Rights Leagues (FIDH),France,  
International Federation of NGOs for Prevention of Drug and Substance Abuse (IFNGO),Malaysia,  
International Federation of Red Cross and Red Crescent Societies (IFRC),Switzerland,erc@egyptianrc.org
International Federation of Social Workers (IFSW),Switzerland,  
International Federation of University Women (IFUW),Switzerland,  
International Federation of Women in Legal Careers (IFWLC),Portugal,  
International Federation on Ageing,United States of America,  
International Federation Terre des Hommes (IFTDH),Switzerland,  
International Fishermen Development Trust (INFIDET),India,  
International Forum of Solidarity (IFS),Bosnia and Herzegovina,  
International Forum on Crime and Criminal Law in the Global Era (IFCCLGE),China,  
International Foundation for African Children (IFAC),Nigeria,  
International Healthcare and Health Insurance Institute-BG (IHHII-BG),Bulgaria,  
International Human Right Associates,India,members@ihra.co.com
International Human Rights & Anti-Corruption Society (IHRAS),Nigeria,  
International Human Rights Association (IHRA),India,  
International Human Rights Association of American Minorities,Canada,  
International Human Rights Internship Program (IHRIP),United States of America,  
International Human Rights Observer (IHRO),Pakistan,  
International Indian Treaty Council (IITC),United States of America,  
International Information Center of Social Reforms (IICSR),Georgia,  
International Initiative on Corruption and Governance (IICG),Philippines,  
International Inner Wheel,United Kingdom,  
International Institute for Child Protection (IICP),Gambia,  
International Institute for Child Protection (IICP),Gambia,  
International Institute for Security and Cooperation (IISC),Bulgaria,  
International Institute of Higher Studies in Criminal Sciences (ISISC),Italy,  
International Institute of Humanitarian Law,Italy,geneva@iihl.org
International Investment Center,Russian Federation,  
International Juridical Organization for Environment and Development,Italy,  
International Jurist Organization (IJO),India,  
International Justice Mission (IJM),United States of America,  
International Juvenile Justice Observatory (IJJO),Belgium,  
International Kolping Society,Germany,  
International Law Research and Human Rights Monitoring Centre (ILRHMC),Hungary,  
International League for Human Rights (ILHR),United States of America,  
International League for the Rights and Liberation of Peoples (ILHR),Switzerland,davidtambaryoh@cmetfreetown.org
International Legal Foundation (ILF),United States of America,slee@theilf.org
International Medical Corps,United States of America,  
International Movement Against All Forms of Discrimination and Racism (IMADR),Japan,imadrun@imadr.org
International Movement for Advancement of Education Culture Social & Economic Development (IMAECSED),India,  
International Movement of Catholic Students (IMCS),France,  
International Narcotic and Antiterrorist Enforcement Officers Association (NATEA),Hungary,  
International Narcotic Enforcement Officers Association,,  
International Nepal Fellowship Naulo Ghumti (INF),Nepal,  
International Network of People Who Use Drugs (INPUD),Belgium,  
"International Non-Governmental Youth Organization ""INTERACTIVE"" (INGYO ""Interactive"")",Belarus,  
International Organisation of Employers (IOE),Switzerland,  
International Organization for the Elimination of All Forms of Racial Discrimination (EAFORD),Switzerland,  
International Organization for Victim Assistance (IOVA),United States of America,  
International Organization in Support of Victims of Political Violence (ISVPV),Canada,  
International Parenthood-Drug Abuse Network-RIPUDD,France,  
International Penal and Penitentiary Foundation (IPPF),Netherlands,  
International Pharmaceutical Federation (FIP),Netherlands,  
International Planned Parenthood Federation (IPPF),United Kingdom,  
International Police Association (IPA),United Kingdom,  
International Police Commission- India (IPC),India,  
International Police Executive Symposium (IPES),United States of America,  
International Prison Chaplains' Association (IPCA),Sweden,  
International Progress Organization (IPO),Austria,  
"International Public Association ""Gender Perspectives""",Belarus,  
International Real Estate Federation (FIABCI),France,  
International Rescue Committee (IRC),United States of America,  
"International Research Centre for Environmental Structures ""Pio Manzu""",Italy,  
International Research Foundation for Development (IRFD),United States of America,  
International Save the Children Alliance,United Kingdom,liliana.orjuela@savethechildren.es
International Service,United Kingdom,  
International Service for Human Rights,Switzerland,  
International Social Science Council,France,  
International Social Service,United States of America,  
International Society for Community Development,United States of America,  
International Society for Criminology (SIC - ISC),France,  
International Society for Human Rights (ISHR),Germany,ishrgambia@gmail.com
International Society for Research on Aggression,United States of America,  
International Society for the Reform of Criminal Law (ISRCL),Canada,  
International Society for Traumatic Stress Studies (ISTSS),United States of America,  
International Society of Addiction Medicine (ISAM),Canada,  
International Society of Social Defence and Humane Criminal Policy (iSSD),Italy,  
International Sociological Association (ISA),Spain,  
International Sports Academy Trust (ISAT),India,jmarcostroia@isatonline.net
International Thai Foundation (ITF),United Kingdom,trustee@thai-charity.org
International Training and Development Center (ITDC),Burundi,  
International Union for Conservation of Nature and Natural Resources-The World Conservation Union (IUCN),Switzerland,  
International Union of Economists (IUE),Russian Federation,  
International United Human Rights Association (IUHRA),India,  
"International Voluntary Organisation for Women, Education and Development",Ghana,  
Intervida World Alliance (INWA),Spain,  
INTILISH,Uzbekistan,  
IOGT International,Sweden,  
Iran Mental Health Allies Society,Iran (Islamic Republic of),  
Iranian Life quality Improvement Association (ILIA),Iran (Islamic Republic of),  
Iraqi Almortaqa Foundation for Human Development,Iraq,almortaqa_relations@yahoo.com
Iraqi Center For Transparency and Anticorruption (ICTAC),Iraq,  
Iraqi Institute for Economic Reform (IIER),Iraq,  
Isenim,Uzbekistan,  
Islamabad Christians Against Narcotics (ICAN),Pakistan,  
Islamic Relief Worldwide,United Kingdom,drnmahboob@gmail.com
Issyk-Kul Foundation,Kyrgyzstan,  
Istiqbolli Avlod (Future Generation),Uzbekistan,  
Istituto Sobre Alcoholism y Farmacodependencia (IAFA),Costa Rica,  
Izlazak (Exodus),Serbia,  
J. Elsenhout Women's Documentation Centre,Suriname,  
Jabala Action Research Organisation (Jabala),India,  
Jamiyat Bazyabi Arzeshhaye Ensani Hejrat,Iran (Islamic Republic of),  
Jamiyat Sobh Zendegi,Iran (Islamic Republic of),  
Jamra,Senegal,  
Japan Federation of Bar Associations (JFBA),Japan,  
Japan HIV Centre (JHC),Japan (use new code JPN),  
Japan Network Against Trafficking in Persons (JNATIP),Japan (use new code JPN),  
Javohir,Uzbekistan,  
Jayaprakash Institute of Social Change,India,  
Jenkins Drug Awareness Strategies Inc.,Canada,  
Jesuit Refugee Service (JRS),Italy,europe@jrs.net
Jesus Christ Educational Society,India,  
"Jeunesse Active pour la Lutte contre la Pauvreté, le VIH/SIDA et ses souffrances (ONG JAPSSO)",Cameroon,  
Jeunesse Contre la Drogue (JCD),Lebanon,  
Jigyansu Tribal Research Centre,India,  
Jisaidie Addiction Rehabilitation (JAR),Tanzania (United Republic of),  
Jitambue Empowering Organization (JAMEO),Kenya,  
John Mordaunt Trust,United Kingdom,  
John Tung Foundation (JTF),"Taiwan, Province of",  
Join Together,United States of America,  
Joint-Stock Private Company,Kyrgyzstan,  
Jonction,Senegal,  
Journalist Group Against Corruption (JGAC),Nepal,  
Journalists Environmental Association of Tanzania (JET),Tanzania (United Republic of),  
Journey,Maldives,  
Joy Mater Public Fund,Kyrgyzstan,  
Jubilee Centre (JC),Zambia,  
"Judeus Alcoólicos, Comprometidos com Drogas e Seus familiares (JACS-Brasil)",,  
Jukamkum,Tanzania (United Republic of),  
Just Good Policy,,  
Just Organization for Natural Growth (JONG),India,  
Just Say No International / Nepal,Nepal,  
Justice And Peace Commission,Cameroon,  
Justice for Youth International,Ukraine,  
Kabataang Gabay sa Positibong Pamumuhay (Peers for a Positive Way of Life) (KGPP),Philippines,  
Kahunui Trust,New Zealand,  
KALAMUDIA - Association for Study of Cannabis,Spain,  
Kaleidoscope Project,United Kingdom,  
Kanem Borno Human Development Association (Kabhuda),Nigeria,  
"Kanoon Farhangi, Honari, Ejtemai Shahid Daneshi Asl",,  
Kanoon Gostaresh Ertebatat,Iran (Islamic Republic of),  
Kansas Family Partnership,United States of America,  
Kanuri Development Association (KDA),Nigeria,  
"Kapatiran-Kaunlaran Foundation, Inc. (KKFI)",Philippines,  
Karabalt educational center for adult,Kyrgyzstan,  
Karachi Rural-Urban Development Initiative (KRUDI),Nigeria,  
Karen Baptist Convention,Thailand,  
Karnataka Welfare Society - Kwality,India,  
Kashog-Karagwe Youth Development Association (KAKAYODA),Tanzania (United Republic of),  
Kaswa Foundation,India,  
Katwe Youth Development Association (KAYDA),Uganda,  
Kazakhstan Association of Organizations working in the field of HIV/Aids and Drug Addiction,Kazakhstan,  
Kazakhstan International Bureau for Human Rights (KIBHR),Kazakhstan,  
Keik Okara,Turkmenistan,  
"Kelazhak Information, Consultation and Resource Center for Families",Uzbekistan,  
Keluarga 101,Malaysia,  
Kemitraan Bagi Pembaruan Tata Perintahan Partnership for Governance Reform (KEMITRAAN),Indonesia,  
Kemitraan Partnership / Partnership for Governance Reform,Indonesia,  
Kenya Action Drug Control Forum (KADCF),Kenya,  
Kenya Alliance of Resident Association (KARA),Kenya,  
Kenya Community Development Group (KCDG),Kenya,  
Kenya National Committee for the Prevention of Alcoholism and Drug Dependency (KNCPADD),Kenya,  
Kenyan Section of the International Commission of Jurists,Kenya,  
Kerala Forum of Partners in Functional Vocational Training (ADHWANA),India,  
Khaneh Khorshid (Sun House),Iran (Islamic Republic of),  
Khazana Integrated Development Organization- District Mardan KPK Pakistan (KIDO),Pakistan,  
Khiam Rehabilitation Center (KRC),Lebanon,  
Khmer HIV/AIDS NGO Alliance (KHANA),Cambodia (new code CMB),  
Khmer Youth Association (KYA),Cambodia (new code CMB),  
Khmer Youth Camp for Culture (KYCC),Cambodia (new code CMB),  
Khulani Development Organization (KDO),South Africa,  
Khulisa Social Solutions (KSS),South Africa,info@khulisa.co.uk
Kids and Women Organization,,  
Kids Meeting Kids,United States of America,  
Kikundi cha Faidika wote pamoja (FAWOPA),Tanzania (United Republic of),  
Kituo Cha Sheria (KITUO),Kenya,  
Klinik Raden Suratman,Malaysia,  
Kljuc Center,Slovenia,  
Komuniteti Emanuel Shqiperi,Albania,  
Kongres Wanita Indonesia (KOWANI),Indonesia,  
Konok Ata Association,Kyrgyzstan,  
Konrad Adenauer Foundation,Zimbabwe,  
KONTAKT,The form. Yug.  Rep. of Macedonia,  
Korea Anti-Drug Campaign Center (KAADA),Republic of Korea,  
Korea Centre Against Drug Abuse (KCADA),Republic of Korea,  
Korean Cyber Citizen Watching Corps,,  
Korean Pact on Anti-Corruption and Transparency (K-PACT),Republic of Korea,  
Korean Women's Association United (KWAU),Dem. Peop. Rep. of Korea,  
Korsang,Cambodia (new code CMB),  
Koz karash Association,Kyrgyzstan,  
KP2KKN Jawa Tengah,Indonesia,  
Kra Global Footprint (KGFP),Ghana,kgfp@hotmail.com
KRIPA Foundation,India,  
"Krityanand UNESCO Club, Jamshedpur (KNUC)",India,  
"Kubessa, Associacao de Prevencao as Toxicomanias",Mozambique,  
Kuchlak Welfare Society (KWS),Pakistan,  
Kurdish Human Rights Watch,Iraq,  
Kurdistan Center for Strengthen Administrative and Managerial Ability (KCSAMA),Iraq,  
Kurdistan villages reconstruction organization,Iraq,  
Kuwait Committee for Drug Prevention,Kuwait,  
Kuwait Economic Society (KES),Kuwait,  
Kyoto Drug Addiction Rehabilitation Centre (DARC),Japan (use new code JPN),  
Kyrgyzstan without AIDS and Drugs,Kyrgyzstan,  
L'Association pour le Progres et la Defense des Droits des Femmes (APDF),Mali,  
L.N.L.A 89 (Fighters against Drugs),Romania,  
La Casa del Encuentro,Argentina,  
"La Escuela De Vida, Centro De Rehabilitación",Peru,  
La Fundacion Potencial Humano,Venezuela,aurie@fundhumano.hush.com
La Mancha Recreación Campamento,Uruguay,  
La Otra Trama (LOT),Argentina,  
La Samaritaine Guinee,Guinea,  
Labor Independent Confederation,Philippines,  
"Laboratoire Anticorruption, Anti-Antivaleurs et Anti-fraude (LACAF)",Congo,  
Lady Pharmacists Association of Ghana,Ghana,  
Lakay,Haiti,  
LAKPESDAM NU ( Institute for Human Resources Studies and Development of NU),Indonesia,  
Lalenok Ba Ema Hotu (LABEH),Timor-Leste,  
Landelijk Comite Drugpreventie (LCD),Netherlands,  
Lao Women's Union,Lao Peop. Dem. Rep.,  
"Lao-German Project ""Promotion of Drug Control""",,  
Lapis,Italy,marilenafarruggia@libero.it
Latin American and Caribbean Network of People Who Use Drugs (LANPUD),France,  
Latin American Human Rights Association (ALDHU),Ecuador,  
Latin American Social Science Council (CLASCO),Argentina,  
Latvian Youth Movement for Life Free from Alcohol and Drugs,Latvia,  
Law Association for Asia and the Pacific (LAWASIA),Australia,  
Law Council of Australia,Australia,  
Law Enforcement Against Prohibition Education Fund (LEAP),,  
Lawyers Alert,Nigeria,  
Lawyers Association,Oman,  
Lawyers Collective HIV/AIDS Unit,India,  
Lawyers Without Borders,United States of America,  
Le Pelican ASBL,Belgium,  
Leadership Forum,Tanzania (United Republic of),  
Leadership Watch,Nigeria,  
League Against Intoxicants (LAI),Norway,  
League for the Defence of Human Rights (LADO),Romania,  
League of Democratic Women (LEADS NIGERIA),Nigeria,  
League of People Engaged in Combating Drug Abuse,,  
League of Rabat-Sale for Mental Health,Morocco,  
Lebanese Association for the Protection of Juvenile Delinquents,Lebanon,  
Lebanese Center for Active Citizenship (LCAC),Lebanon,  
LEFÖ-Interventionsstelle für Betroffene von Frauenhandel,Austria,  
Legal aid,Azerbaijan,  
Legal Aid Forum for Human Rights Chitral (LAFH),Pakistan,  
"Legal Center ""Kamolot-Konun""",Uzbekistan,  
Legal Defence and Assistance Project (LEDAP),Nigeria,  
Legal Research Foundation,Cameroon,  
Legal resources Foundation Trust- Kenya,Kenya,  
Legal Support For Women and Children (LSCW),Cambodia,  
Lembaga Bantuan Hukum Masyarakat (LBH),Indonesia,  
Lembaga Titian,Indonesia,  
Lenkoran Narcological Dispensary,Azerbaijan,  
Les Mêmes Droits pour Tous (MDT),Guinea,  
Lesotho Council of NGOs,Lesotho,  
"LIBERA - Associations, Names and Numbers Against Mafia",Italy,  
Liberia Consumer Action Network (LICAN),Liberia,  
Liberian Empowerment against Drug and Alcohol Demand (LEADAD),Liberia,  
Liberians United Against Drug Abuse (LUADA),Liberia,  
Liberty Desk,,  
Libyan Transparency Association (LTA),Libyan Arab Jamahiriya,  
Life Development Centre (LDC),Thailand,  
Life Drug Prevention Movement - Sri Lanka (LDPM),Sri Lanka,  
Life Education Centres,United Kingdom,  
Life for Relief and Development (LIFE),Iraq,  
Life Foundation Network International for Drug Abuse (LFNI),Austria,  
Life Giving Water,Madagascar,  
Life Impulse Association (LIA),Yemen,  
Life Link Friendship Schools International,Ghana,  
Life Long Love Association,Turkey,  
Life Quality Improvement Organisation (FLIGHT/LET),Croatia,  
"Life, Health & Media Development organization (LHMD)",Pakistan,  
Lifeline/Childline Namibia,Namibia,  
"Light of hope, Svilo nadii",Ukraine,  
Lighthouse Center for Human Trafficking Victims,Japan,  
Ligue Algerienne pour la Defense des Droits de l'Homme (LADDH),Algeria,  
Ligue Congolaise de Lutte Contre de Corruption (LICOCO),Congo,  
Ligue des Consommateurs du Burkina (LBC),Burkina Faso(new code BKF),  
Ligue des Indépendants pour la Transparence-LIT/Togo (LIT-Togo),Togo,  
Lithuanian Red Cross Society,Lithuania,  
"Lithuanian Temperance Society ""Baltu Ainai""",Lithuania,  
Local Community Development Association,Cameroon,  
Lotus Centre,Mauritius,  
Lower Silesian Association on Social Pathology,Poland,  
LSM Gerakan Anti Perdagangan Perempuan (LSM GAPP),Indonesia,  
"Luta Hamutuk (Timor Leste Institute for Research, Advocacy and Campaigns)",Timor-Leste,  
Lviv oblast Organisation Doroga Plus,Ukraine,  
Macedonian Harm Reduction Network (MHRN),The form. Yug.  Rep. of Macedonia,  
Madaliso Widows Orphans and Vulnerable Children Group,Zambia,  
Madina,Tajikistan,  
Mae Fah Luang Foundation (Doi Tung),Thailand,  
Magtumguly Youth Union of Turkmenistan,Turkmenistan,  
"Magulang Foundation, Inc.",Philippines,  
Mah o Mehr DIC,Iran (Islamic Republic of),  
Maison Blanche (CERMA),Benin,  
Maison de l'Espoir,Congo,  
MAITI Nepal,Nepal,  
Makassar Legal Aid Foundation (LBH Makassaar),Indonesia,  
Malawi Human Rights Commission (MHRC),Malawi,info@malawihrc.org
Malaysian (CARE),Malaysia,  
Malaysian AIDS Council (MAC),Malaysia,  
Manav Seva Sansthan (SEVA),India,cbatnro@gmail.com
Manipur Intravenous League (MIL),India,  
Mans,Montenegro,  
Marangopoulos Foundation for Human Rights (MFHR),Greece,  
Maria Ashiana Therapeutic Centre (Maria Ashiana Lonavla India),,  
Mariina Shkola,Ukraine,  
Marijuana Policy Project Foundation,,  
Marin Institute for the Prevention of Alcohol and Drug Problems,,  
Marion House,Saint Vincent and the Grenadines,  
Marita Foundation (Maritastiftelsen),Norway,  
"Marwar Medical and Relief Society, JODHPUR",India,  
Mashal Bannu,Pakistan,  
Masianday Peace Foundation,Senegal,  
"Masigla Foundation, Inc.",Philippines,  
Masyarakat Pemantau Peradilan Indonesia,Indonesia,  
Mathare Youth Sports Association (MYSA),Kenya,  
Mauritius Council of Social Service (MACOSS),Mauritius,  
"Mavec Specialists Foundation, Inc.",Philippines,  
Maverannakhr,Uzbekistan,  
Maya Nepal,Nepal,  
Mayina,France,  
Médecins du Monde International,France,  
Medica Mondiale,Germany,  
"Medical Centre ""OILA"" (Family)",Uzbekistan,  
Medical Development Foundation,Yemen,  
Medical University of South Africa (MEDUNSA),South Africa,  
Medical Women's International Association (MWIA),Germany,  
Mediterranean Women's Studies Centre (KEGME),Greece,  
Memorial Institute for the Prevention of Terrorism (MIPT),United States of America,  
Mental Health Association (MEHATA),,  
Mental Health Rehabilitation Society,Tanzania (United Republic of),  
Mentor Arabia,Lebanon,  
Mentor Foundation,United Kingdom,  
Mercy Corps,United States of America,  
Mercy House,South Africa,  
Mere Mist International (MMI),United States of America,  
Meson de Dios,Dominican Republic,  
Méta d'Âme,Canada,  
Mexican Society of Criminology - Sociedad Mexicana de Criminología Capítulo Nuevo León,Mexico,  
Mexico Unido contra la Delincuencia (MUCD),Mexico,  
Middle East & North Africa Harm Reduction Association (MENAHRA),Lebanon,ilham.lagrich@kh-arrazi.org
Migrants Rights Centre Ireland (MRCI),Ireland,  
Migrants Rights International,Switzerland,  
Millat Development Programme (MDP),Pakistan,  
Ministère pour le Salut et l'Assistance aux Drogués de Centrafique (MSADC),Central African Republic,  
Missing Persons' Families Support Centre,Lithuania,  
Mission for Preventive Education Against Drug Abuse,,  
Mjaft! Movement,Albania,  
Mobarezeh ba Asibhaye Ejtemaie,Iran (Islamic Republic of),  
Mobile Youth Programme for Drugs,Kenya,  
Mobility Research and Support Center,Viet Nam,  
Mohammadi nejaht De-addiction Center (MDC),,  
Moldovan Mitropoly,,  
Molo Songololo,South Africa,  
Mom's Club International Nigeria,Nigeria,  
Monadian Salamat NGO,Iran (Islamic Republic of),  
Monar Association,Poland,  
Mongolian Gender Equality Center (MGEC),Mongolia,  
Mongolian Red Cross Society,Mongolia,  
Monitoring Forum on Combating Corruption,Indonesia,  
Monsoon Youth Programme - Mukuru Resource and Counselling Centre,Kenya,  
Monte Fénix,Mexico,  
Montenegrin Association against AIDS (CAZAS),Montenegro,  
Montenegrin Women's Lobby (MWL),Montenegro,  
Mor Çatı Kadın Sığınağı Vakfı/Purple Roof Women's Shelter Foundation,Turkey,  
Moral Development Foundation Ayudhaya,Thailand,  
Morning Glory Drug Rehabilitation Programme Centre,Malaysia,  
Mosquitia Pawisa Apiska (MOPAWI),Honduras,  
Mothers against Drugs,Kazakhstan,  
Mothers against Drunk Driving (MADD),,  
Mouvement Civique National (MCN),Mauritius,  
Mouvement des Jeunes pour l'Entente et le Développement (MOJED),Mali,  
Mouvement du Nid,France,  
Mouvement pour l'abolition de la prostitution et de la pornographie,France,  
Mouvement Pour la Lutte Contre l’Injustice ( MPLCI) (MPLCI),Côte d'Ivoire,  
Movement against Drug Abuse “MADA”OKARA Pakistan (MADA OKARA),Pakistan,  
Movement for Anti-Drug Abuse (MADA),Ghana,  
Movement for Democracy Development and Transparency (MDDT),Cameroon,  
Movement for Protection of African Child (MOPOTAC),Nigeria,  
Movement for youth and Children’s Rights (MYCR),Sierra Leone,maxwellcl11@gmail.com
Movement of Community Action for the Prevention & Protection of Young People,Namibia,  
Movement toward Peace and Development Agency-Sierra Leone (MOPADA-SL),Sierra Leone,  
Movimento delle Associazioni di Volontariato Italiano (MoDAVI),Italy,  
Movimento Nacional de Direitos Humanos de Policiais (MNDHP),Brazil,  
Movimento Nacional Vida Livre (MNVL),,  
Movimiento EL POZO,Peru,  
Moving the Goalposts Kilifi,Kenya,  
Mt. Sinai Adolescent Health Center,,  
Mudra,Germany,  
Muktangan Mitra,India,  
Mukti Lawrence Foundation,Bangladesh,  
Multicultural Women's Association & Women's Resource Centre (MONIKA),Finland,  
Multijurisdictional Counter-Drug Task Force,United States of America,  
"Municipal Council on Drug Addiction Blagoevgrad, Bulgaria (MCDA)",Bulgaria,  
Municipality of Sidi Othman,Morocco,  
Murder Victims' Families for Human Rights (MVFHR),United States of America,  
Musaada Foundation,Kyrgyzstan,  
Muslim Education & Welfare Association (MEWA),Kenya,  
Muslim Health Workers Ummah (MUHEWU),Nigeria,  
Muslim World League,Saudi Arabia,  
Muslims for Human Rights (MUHURI),Kenya,  
Muungano Wa Vijana,,  
Mwelekeo Wa Ngo (MWENGO),Zimbabwe,  
Myanmar Anti-Narcotics Association (MANA),Myanmar (use new code MYA),  
Myanmar Baptist Convention (MBC),,  
Myanmar Digital Solutions,Myanmar,  
Mylo Shaheed Trust,Pakistan,  
Nacogdoches Community Coalition,,  
Nada India Foundation (NIF),India,  
Nadezhnaya Opora (Reliable Support) Foundation,Kazakhstan,  
Nai Umeed Development Organisation,Pakistan,  
Nai Zindagi,Pakistan,  
Nairobi Outreach Services Trust (NOSET),Kenya,  
Namibia Institute for Democracy (NID),Namibia,  
Nan Hua Temple,South Africa,  
Nanoa Environmental and Human Development Organisation (NEHDO),Ghana,  
Narcotic Anonymous (NA),Iran (Islamic Republic of),  
Narcotics Anonymous Organisation,Iran (Islamic Republic of),  
Narcotics Anonymous World Services (NAWS),United States of America,  
Narcotics Control Foundation,Thailand,  
National Aboriginal and Islander Legal Services Secretariat,Australia,  
National Acupuncture Detoxification Association (NADA),United States of America,  
National Addiction Research Centre (NARC),India,  
National Agency for the Treatment and Rehabilitation of Substance Abusers (NATReSA),Mauritius,  
National AIDS Foundation (NAF),Mongolia,  
National Alliance of Methadone Advocates (NAMA),United States of America,  
National Anti-Corruption Committee,Russian Federation,  
National Anti-Drug Center,Mongolia,  
National Asian Pacific American Families against Substance Abuse (NAPAFASA),United States of America,slee@napafasa.org
National Association for the Prevention of Drug Abuse (PEMADAM),Malaysia,  
National Association of Criminal Defense Lawyers (NACDL),United States of America,  
National Association of Large Families (NOE),Hungary,  
"National Association of State Alcohol & Drug Abuse Directors, Inc (NASADAD)",United States of America,  
National Association of University Women of Romania,Romania,  
National Association of Victims Support Schemes,United Kingdom,  
National Association of Women Lawyers (NAWL),United States of America,  
National Association of Women's Organizations in Uganda,Uganda,  
National Care Centre,Uganda,  
National Center for Consumer Health and Protection Services,Liberia,  
National Center for Missing and Exploited Children (NCMEC),United States of America,  
National Center For Peace and Development (NCPD),Sudan,  
National Center for State Courts (NCSC),United States of America,  
National Center on Addiction and Substance Abuse at Columbia University (CASA),United States of America,  
National Commission for the Prevention of Alcoholism and Drug Dependency (NCPADD - Saint Lucia),Saint Lucia,ncpadd@hotmail.com
National Committee for Prevention of Aids and Drug Addiction,Bahrain,  
National Confederation of Hungarian Trade Unions / Magyar Szakszervezetek Orszàgos Szovetsège (MSZOSZ),Hungary,  
National Council Against Addictions to Narcotics (NCAAN),Sudan,  
National Council for the Prevention of Alcoholism and Drug Dependency (NCPA),Sierra Leone,  
National Council of Churches of Kenya (NCCK),Kenya,  
National Council of German Women's Organizations - Deutscher Frauenrat,Germany,  
National Council of Negro Women,United States of America,  
National Council of Women,United States of America,  
National Council of Women of Thailand (NCWT),Thailand,  
National Council on Alcoholism and Other Addictions,Trinidad and Tobago,  
"National Council on Smoking, Alcohol and Drug Dependence - Swaziland (COSAD)",Swaziland,  
National Drug & Alcohol Research Centre (NDARC),Australia,  
National Drug Abuse Control Committee Nigeria (NDACC),Nigeria,  
National Drug Control Council,Gambia,  
National Drug Dependence Treatment Centre (NDDTC),India,  
National Drug Endangered Children Training and Advocacy Center (NDEC- TAC),United States of America,  
National Drug Prevention Alliance (NDPA),United Kingdom,  
National Drug Prevention Office (Public Union),Azerbaijan,  
National Federation of Anti-Drugs Organization INC (NAFADO),Sierra Leone,  
National Federation of Parents for Drug-Free Youth,India,  
National Federation of Young Farmers' Clubs,Mauritius,  
National Federation of Youth Organizations (NFYOB),Bangladesh,  
National Foreign Trade Council (NFTC),United States of America,  
National Foundation for Alcoholism & Addiction Communications,,  
National Foundation for Health Progress and Research Development (FOREM),Algeria,  
National Foundation for Medical Research,Algeria,  
National Freedom From Hunger Campaign,Tanzania (United Republic of),  
National Health and Education Committee (NHEC),Thailand,  
National Healthy Lifestyle Centre,Kazakhstan,  
National Human Rights Commission - India,India,  
National Human Rights Commission - Mongolia (NHRC),Mongolia,  
National Independence Society,Ghana,  
National Indian Youth Council,United States of America,  
National Inhalant Prevention Coalition,United States of America,  
National Institute for Crime Prevention and the Reintegration of Offenders - South Africa (NICRO),South Africa,  
National Institute of formation in alternative Education (INFE),Bolivia,  
National Masonic Foundation for Children (NMFC),United States of America,  
National NGO Network Federation (NANF),Nepal,  
National Non-Smokers Forum,Bangladesh,  
National Organization for Social Development (NOSD),Pakistan,  
National Organization for the Reform of Marijuana Laws (NORML),United States of America,  
National Organization of Anti-Drug Fighters (NODAF),Kenya,  
National Programme for the Prevention of Drug and Substance Abuse,Fiji,  
National Rehabilitation Centre,United Arab Emirates,  
"National Rifle Association of America, Institute for Legislative Action (NRA-ILA)",United States of America,  
National Society for Rehabilitation,Palestine,  
National Society for the Prevention of Cruelty to Children (NSPCC),United Kingdom,  
National Spiritual Assembly of Bohais,Mauritius,  
National Spiritual Security,Armenia,  
National Swedish Parents Anti-Narcotics Association (FMN),Sweden,  
National Wildlife Federation,United States of America,  
National Youth Action (NAYA),Liberia,  
National Youth Council Benin (NYC-BENIN),Benin,  
National Youth Council of St.Vincent and the Grenadines,Saint Vincent and the Grenadines,  
National Youth Organization for the Social Awareness (NYOSA),Pakistan,  
National Youth Welfare Organization (NYWO),Bangladesh,  
Natun Jeebon Drug Addiction Treatment,Bangladesh,  
"Natural Resources Defense Council, Inc",United States of America,  
Nature Seychelles,Seychelles,  
Nav Nirmaan Foundation,India,  
Nava Sahara Nepal (NSN),Nepal,  
Navchetna Drug De-Addiction-cum-Counselling Centre,India,  
"Navjyoti Delhi Police Foundation for Correction, De-Addiction and Rehabilitation (Navjyoti DPFCDR)",India,  
Nebo Community Victim Support Centre,South Africa,  
